date,category,total_alerts,analyzed_alerts,true_positive,false_positive,missed_attack,new_A,notes
2024/1/15,命令执行,2100,210,15,195,0,1000000,本周命中率7.1%
2024/1/15,SQL注入,5600,560,8,552,1,1000000,漏报一次，A值翻倍至100万
2024/1/15,端口扫描,35000,175,0,175,0,90,连续四周零命中，A值从100衰减至90
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
记录每类告警的历史研判结果，用于定期校准A值和α值。,,,,,,,,
字段,含义,示例值,填写说明,,,,,
date,统计日期,45306,每周或每次演习后更新,,,,,
category,告警类别,命令执行,与表一对应,,,,,
total_alerts,本周该类告警总量,2100,实际到达量,,,,,
analyzed_alerts,实际研判数量,210,被标记为“分析”的数量,,,,,
true_positive,确认为真实攻击的数量,15,研判确认的恶意告警,,,,,
false_positive,确认为误报的数量,195,研判确认的误报,,,,,
missed_attack,漏报事件数量,0,因分析率不足而漏掉的真实攻击,,,,,
new_A,校准后的A值,1000000,漏报翻倍，长期误报衰减,,,,,
notes,备注,本周命中率7.1%,记录校准依据,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
校准规则：,,,,,,,,
触发条件,操作,说明,,,,,,
漏报导致安全事件,A值 × 2,立即上调，防止再次漏报,,,,,,
连续四周零有效攻击,A值 × 0.9,逐步衰减，释放分析资源,,,,,,
首次发现被低估的攻击类型,A值上调至初始值的10倍,季度全量回溯时触发,,,,,,
A值已达下限,不再衰减,防止攻击方通过制造假阴性操纵A值,,,,,,
