alert_id,category,timestamp
1,监控到到低信誉协议利用: HTTP 流量在443端口（POST） 未知,2023/5/30 17:53
2,审计到文件上传行为: 通用文件上传行为请求-Hunting 未知,2023/5/31 17:53
3,感染minepool家族挖矿,2023/6/1 17:53
4,感染silverfox家族木马远控,2023/6/2 17:53
5,感染drivelife家族挖矿,2023/6/3 17:53
6,感染lemonduck家族挖矿,2023/6/4 17:53
7,感染普通病毒,2023/6/5 17:53
8,感染普通病毒,2023/6/6 17:53
9,感染drivelife家族挖矿,2023/6/7 17:53
10,感染coinminer家族挖矿,2023/6/8 17:53
11,感染silverfox家族木马远控,2023/6/9 17:53
12,感染phishing家族钓鱼软件,2023/6/10 17:53
13,感染silverfox家族木马远控,2023/6/11 17:53
14,感染coinminer家族挖矿,2023/6/12 17:53
15,感染silverfox家族木马远控,2023/6/13 17:53
16,感染coinminer家族挖矿,2023/6/14 17:53
17,感染drivelife家族挖矿,2023/6/15 17:53
18,感染cobaltstrike家族黑客工具,2023/6/16 17:53
19,感染drivelife家族挖矿,2023/6/17 17:53
20,监控到到文件目录扫描:  ,2023/6/18 17:53
21,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/6/19 17:53
22,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/6/20 17:53
23,监控到到低信誉协议利用: HTTP 流量在443端口（POST） 未知,2023/6/21 17:53
24,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/6/22 17:53
25,监控到到文件目录扫描:  ,2023/6/23 17:53
26,监控到到命令执行攻击:  ,2023/6/24 17:53
27,监控到到网络攻击：HTTP_未授权访问_Prometheus-Exporter-API ,2023/6/25 17:53
28,监控到到网络攻击：HTTP_未授权访问_Prometheus-Exporter-API ,2023/6/26 17:53
29,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/6/27 17:53
30,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/6/28 17:53
31,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/6/29 17:53
32,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/6/30 17:53
33,监控到到操作系统漏洞利用攻击: 服务器响应存在漏洞的OpenSSH版本（CVE-2024-6409） 未知,2023/7/1 17:53
34,监控到到低信誉协议利用: HTTP 流量在443端口（POST） 未知,2023/7/2 17:53
35,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/7/3 17:53
36,监控到到其他网络攻击: 命令代码执行 - Microsoft Server Message Block 输入验证错误漏洞攻击 未知,2023/7/4 17:53
37,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/7/5 17:53
38,监控到到操作系统漏洞利用攻击: 服务器响应存在漏洞的OpenSSH版本（CVE-2024-6409） 未知,2023/7/6 17:53
39,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/7/7 17:53
40,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/7/8 17:53
41,监控到到数据泄漏行为: HTTP请求URL中包含可疑压缩文件 未知,2023/7/9 17:53
42,监控到到文件目录扫描:  ,2023/7/10 17:53
43,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/7/11 17:53
44,审计到文件上传行为: 通用文件上传行为请求-Hunting 未知,2023/7/12 17:53
45,监控到到低信誉协议利用: HTTP 流量在443端口（POST） 未知,2023/7/13 17:53
46,监控到到低信誉协议利用: HTTP 流量在443端口（POST） 未知,2023/7/14 17:53
47,审计其他操作行为: UDP_网络扫描_NMAP工具_RPC_扫描 ,2023/7/15 17:53
48,监控到到文件目录扫描:  ,2023/7/16 17:53
49,监控到到文件目录扫描:  ,2023/7/17 17:53
